x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [-1.4997705]   , u:[-1.] , d:1.144605682101854
x: [-1.53749542]   , u:[-1.] , d:-1.2727208510670107
x: [-1.54119294]   , u:[1.] , d:0.16774313852870612
x: [-1.51534439]   , u:[1.] , d:3.1260478733538646
x: [-1.4332019]   , u:[1.] , d:8.729593442456554
x: [-1.45508226]   , u:[-1.] , d:0.2451654527444736
x: [-1.42720146]   , u:[-1.] , d:5.243163016520732
x: [-1.46205599]   , u:[-1.] , d:-1.0582521223389167
x: [-1.38355456]   , u:[-1.] , d:10.312199273791485
x: [-1.45900999]   , u:[-1.] , d:-5.16198892668523
x: [-1.51554296]   , u:[-1.] , d:-3.1942871749080766
x: [-1.45338161]   , u:[1.] , d:6.731678065587669
x: [-1.46389952]   , u:[-1.] , d:1.4015905488883122
x: [-1.50300383]   , u:[-1.] , d:-1.4465313588564404
x: [-1.55139164]   , u:[1.] , d:-4.335776568319259
x: [-1.531821]   , u:[1.] , d:2.5084549813884114
x: [-1.53643689]   , u:[1.] , d:0.07023257510576626
x: [-1.49317551]   , u:[1.] , d:4.86257435026507
x: [-1.46029737]   , u:[-1.] , d:5.780989503597702
x: [-1.50207073]   , u:[-1.] , d:-1.7170378771307355
x: [-1.49624709]   , u:[1.] , d:1.084434668782563
x: [-1.54882432]   , u:[-1.] , d:-2.7614759860681826
x: [-1.54349861]   , u:[1.] , d:1.0813951967754813
x: [-1.52931023]   , u:[1.] , d:1.9623368686686153
x: [-1.57847137]   , u:[1.] , d:-4.386804685422486
x: [-1.59135978]   , u:[1.] , d:-0.7103690957441815
x: [-1.59433197]   , u:[1.] , d:0.2941409103933965
x: [-1.52960658]   , u:[1.] , d:7.066870596959865
x: [-1.48362531]   , u:[1.] , d:5.127734169138013
x: [-1.49691619]   , u:[-1.] , d:1.1545364988074536
x: [-1.53380286]   , u:[-1.] , d:-1.1917499985425979
x: [-1.53623864]   , u:[1.] , d:0.29022479419201486
x: [-1.49853822]   , u:[1.] , d:4.306280725904587
x: [-1.47975954]   , u:[-1.] , d:4.3764060767810475
x: [-1.48641697]   , u:[-1.] , d:1.8140162083062203
x: [-1.51774759]   , u:[-1.] , d:-0.6466449659970102
x: [-1.4994828]   , u:[1.] , d:2.3442269733917716
x: [-1.45736904]   , u:[-1.] , d:6.71085796265493
x: [-1.55619542]   , u:[-1.] , d:-7.425268310195151
x: [-1.60969728]   , u:[1.] , d:-4.793991185950153
x: [-1.58616864]   , u:[1.] , d:2.9625619788863493
x: [-1.58607986]   , u:[1.] , d:0.595046176055681
x: [-1.6007639]   , u:[1.] , d:-0.8823241316019463
x: [-1.64127968]   , u:[1.] , d:-3.4508144239613965
x: [-1.63190371]   , u:[1.] , d:1.578877187774714
x: [-1.66200458]   , u:[1.] , d:-2.378183534259338
x: [-1.66445689]   , u:[1.] , d:0.41677426457989386
x: [-1.62515694]   , u:[1.] , d:4.5944517456802325
x: [-1.60923204]   , u:[1.] , d:2.217647121750752
x: [-1.58978119]   , u:[1.] , d:2.554316280184699
x: [-1.58669899]   , u:[1.] , d:0.8980016103938606
x: [-1.66778874]   , u:[1.] , d:-7.5222762602982804
x: [-1.73126099]   , u:[1.] , d:-5.679435783238116
x: [-1.72146329]   , u:[1.] , d:1.7110310689063304
x: [-1.71132514]   , u:[1.] , d:1.7352782065914125
x: [-1.73052709]   , u:[1.] , d:-1.208870579226749
x: [-1.73723613]   , u:[1.] , d:0.05962384346682885
x: [-1.69702703]   , u:[1.] , d:4.758145791551186
x: [-1.73700502]   , u:[1.] , d:-3.300772155631691
x: [-1.64681427]   , u:[1.] , d:9.75607974864682
x: [-1.74609385]   , u:[1.] , d:-9.28114354283856
x: [-1.73847314]   , u:[1.] , d:1.5081650293217355
x: [-1.73042855]   , u:[1.] , d:1.5429325400944043
x: [-1.746996]   , u:[1.] , d:-0.9263172497161499
x: [-1.77643603]   , u:[1.] , d:-2.1970069360369653
x: [-1.82136108]   , u:[1.] , d:-3.716068669658716
x: [-1.83153727]   , u:[1.] , d:-0.1962580970043898
x: [-1.82099297]   , u:[1.] , d:1.8859677046766379
x: [-1.89699852]   , u:[1.] , d:-6.779562662391701
x: [-1.93650016]   , u:[1.] , d:-3.0531653803334953
x: [-1.89061537]   , u:[1.] , d:5.524979491025255
x: [-1.89207173]   , u:[1.] , d:0.7449798182931434
x: [-1.86415805]   , u:[1.] , d:3.683439270217701
x: [-1.90255263]   , u:[1.] , d:-2.9752999254692165
x: [-1.87778193]   , u:[1.] , d:3.3796228095398644
x: [-1.85609644]   , u:[1.] , d:3.0463312081120164
x: [-1.93650124]   , u:[1.] , d:-7.184383592295742
x: [-1.95162029]   , u:[1.] , d:-0.5754040205635068
x: [-1.99298974]   , u:[1.] , d:-3.1853248996873185
x: [-1.97322614]   , u:[1.] , d:2.9693498752918273
