x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [ 0.81244258 -1.9544358 ]   , u:[-1.  1.] , d:[0.42502548 5.01416709]
x: [ 0.79908793 -1.97037751]   , u:[-1.  1.] , d:[-1.14790823 -0.63973499]
x: [ 0.83311434 -1.94381418]   , u:[-1.  1.] , d:[3.60355345 3.62671051]
x: [ 0.86705355 -1.87271596]   , u:[-1.  1.] , d:[3.5608064  8.05363551]
x: [ 0.86987604 -1.87636114]   , u:[-1.  1.] , d:[0.41519616 0.50819825]
x: [ 0.88519247 -1.85281738]   , u:[-1.  1.] , d:[1.66176658 3.23073753]
x: [ 0.91649606 -1.87241207]   , u:[-1.  1.] , d:[ 3.24516695 -1.10665253]
x: [ 0.93407902 -1.91574539]   , u:[-1.  1.] , d:[ 1.84179956 -3.46091908]
x: [ 0.9225719  -1.91726852]   , u:[-1.  1.] , d:[-1.08479107  0.76343201]
x: [ 0.92737761 -1.94131257]   , u:[-1.  1.] , d:[ 0.5579987  -1.48713609]
x: [ 0.90607538 -2.019577  ]   , u:[-1.  1.] , d:[-2.05759971 -6.88513085]
x: [ 0.91714381 -2.06497195]   , u:[-1.  1.] , d:[ 1.20076715 -3.51991795]
x: [ 0.90712809 -2.15214064]   , u:[-1.  1.] , d:[-0.91871575 -7.65189738]
x: [ 0.86031866 -2.13808424]   , u:[-1.  1.] , d:[-4.58807162  2.55778116]
x: [ 0.834977   -2.19832166]   , u:[-1.  1.] , d:[-2.39448414 -4.885658  ]
x: [ 0.76792743 -2.19119583]   , u:[-1.  1.] , d:[-6.53993407  1.91090481]
x: [ 0.79673398 -2.24966653]   , u:[-1.  1.] , d:[ 3.11272767 -4.65587405]
x: [ 0.82766397 -2.2590605 ]   , u:[-1.  1.] , d:[3.2962653  0.31026917]
